"SYMBOL","ENTREZID"
"EDNRA","1909"
"EDNRB","1910"
"EDRF1","26098"
"EED","8726"
"EEF1A2","1917"
"EEF1AKNMT","51603"
"EEF1G","1937"
"EFHC1","114327"
"EFHC2","80258"
"EFNB2","1948"
"EFR3A","23167"
"EFR3B","22979"
"EFS","10278"
"EFTUD2","9343"
"EGF","1950"
"EGFL6","25975"
"EGFL7","51162"
"EGFL8","80864"
"EGFR","1956"
"EGLN1","54583"
"EGLN3","112399"
"EGR2","1959"
"EGR3","1960"
"EGR4","1961"
"EHBP1","23301"
"EHF","26298"
"EHMT1","79813"
"EHMT2","10919"
"EID1","23741"
"EIF1AD","84285"
"EIF1AY","9086"
"EIF1B","10289"
"EIF2AK2","5610"
"EIF2AK3","9451"
"EIF2AK4","440275"
"EIF2S1","1965"
"EIF3A","8661"
"EIF3C","8663"
"EIF4A1","1973"
"EIF4A3","9775"
"EIF4E","1977"
"EIF4EBP1","1978"
"EIF4EBP2","1979"
"EIF4EBP3","8637"
"EIF4ENIF1","56478"
"EIF4G1","1981"
"EIF5A","1984"
"EIF5AL1","143244"
"EIPR1","7260"
"ELAC1","55520"
"ELAC2","60528"
"ELANE","1991"
"ELAVL1","1994"
"ELF4","2000"
"ELFN1","392617"
"ELK1","2002"
"ELK3","2004"
"ELK4","2005"
"ELMOD1","55531"
"ELMOD2","255520"
"ELN","2006"
"ELOB","6923"
"ELOC","6921"
"ELOVL6","79071"
"ELSPBP1","64100"
"EMC1","23065"
"EMC4","51234"
"EMD","2010"
"EMP1","2012"
"EMP2","2013"
"EMSY","56946"
"EMX2","2018"
"EN1","2019"
"EN2","2020"
"ENG","2022"
"ENKUR","219670"
"ENO1","2023"
"ENO2","2026"
"ENOSF1","55556"
"ENOX1","55068"
"ENOX2","10495"
"ENPEP","2028"
"ENPP1","5167"
"ENPP2","5168"
"ENPP3","5169"
"ENTPD1","953"
"ENTPD2","954"
"EOMES","8320"
"EP300","2033"
"EPAS1","2034"
"EPB41L3","23136"
"EPCAM","4072"
"EPDR1","54749"
"EPG5","57724"
"EPHA1","2041"
"EPHA10","284656"
"EPHA2","1969"
"EPHA3","2042"
"EPHA4","2043"
"EPHA7","2045"
"EPHA8","2046"
"EPHB1","2047"
"EPHB2","2048"
"EPHB4","2050"
"EPHB6","2051"
"EPHX1","2052"
"EPHX2","2053"
"EPM2AIP1","9852"
"EPO","2056"
"EPOR","2057"
"EPRS","2058"
"EPS8L3","79574"
"ERAP1","51752"
"ERAS","3266"
"ERBB2","2064"
"ERBB3","2065"
"ERC1","23085"
"ERCC1","2067"
"ERCC2","2068"
"ERCC3","2071"
"ERCC4","2072"
"ERCC5","2073"
"ERCC6","2074"
"EREG","2069"
"ERFE","151176"
"ERG","2078"
"ERG28","11161"
"ERGIC2","51290"
"ERLIN2","11160"
"ERMAP","114625"
"ERN1","2081"
"ERP27","121506"
"ERRFI1","54206"
"ERVFRD-1","405754"
"ESF1","51575"
"ESM1","11082"
"ESR1","2099"
"ESR2","2100"
"ESRRA","2101"
"ESRRG","2104"
"ETS1","2113"
"ETV1","2115"
"ETV3","2117"
"ETV5","2119"
"ETV6","2120"
"EVI2B","2124"
"EVI5","7813"
"EWSR1","2130"
"EXO1","9156"
"EXOSC10","5394"
"EYA1","2138"
"EYA4","2070"
"EZH1","2145"
"EZH2","2146"
"EZHIP","340602"
"F11","2160"
"F11R","50848"
"F12","2161"
"F13A1","2162"
"F2","2147"
"F2R","2149"
"F2RL1","2150"
"F2RL3","9002"
"F5","2153"
"F7","2155"
"F8","2157"
"FAAH","2166"
"FABP2","2169"
"FABP3","2170"
"FABP7","2173"
"FADD","8772"
"FADS1","3992"
"FADS2","9415"
"FAF1","11124"
"FAF2","23197"
"FAIM","55179"
"FAIM2","23017"
"FAM107A","11170"
"FAM110A","83541"
"FAM117B","150864"
"FAM126B","285172"
"FAM131C","348487"
"FAM161A","84140"
"FAM168A","23201"
"FAM193A","8603"
"FAM3A","60343"
"FAM3D","131177"
"FAM53C","51307"
"FAM76B","143684"
"FAM83A","84985"
"FAM98A","25940"
"FAM9B","171483"
"FANCA","2175"
"FANCC","2176"
"FANCD2","2177"
"FANCI","55215"
"FAP","2191"
"FAR1","84188"
"FAS","355"
"FASLG","356"
"FASN","2194"
"FAT1","2195"
"FAT2","2196"
"FAT3","120114"
"FAT4","79633"
"FBL","2091"
"FBLN2","2199"
"FBLN5","10516"
"FBP1","2203"
"FBXO16","157574"
"FBXO25","26260"
"FBXO33","254170"
"FBXO42","54455"
"FBXO43","286151"
"FBXO45","200933"
"FBXW11","23291"
"FBXW7","55294"
"FCAR","2204"
"FCER1A","2205"
"FCER2","2208"
"FCGBP","8857"
"FCGR1A","2209"
"FCGR2A","2212"
"FCGR2B","2213"
"FCGR3A","2214"
"FCGR3B","2215"
"FCMR","9214"
"FCN1","2219"
"FCN2","2220"
"FCRL1","115350"
"FCRL2","79368"
"FCRL3","115352"
"FCRL4","83417"
"FCRL5","83416"
"FCRLA","84824"
"FDFT1","2222"
"FDPS","2224"
"FDX1","2230"
"FECH","2235"
"FEN1","2237"
"FENDRR","400550"
"FER","2241"
"FERMT3","83706"
"FES","2242"
"FETUB","26998"
"FEV","54738"
"FEZ1","9638"
"FEZF1","389549"
"FEZF2","55079"
"FFAR1","2864"
"FGF1","2246"
"FGF10","2255"
"FGF13","2258"
"FGF19","9965"
"FGF2","2247"
"FGF21","26291"
"FGF23","8074"
"FGF4","2249"
"FGF7","2252"
"FGF9","2254"
"FGFBP1","9982"
"FGFBP2","83888"
"FGFR1","2260"
"FGFR2","2263"
"FGFR3","2261"
"FGFR4","2264"
"FGR","2268"
"FH","2271"
"FHAD1","114827"
"FHL1","2273"
"FHL2","2274"
"FHL3","2275"
"FHOD1","29109"
"FIBCD1","84929"
"FIBP","9158"
"FILIP1L","11259"
"FIP1L1","81608"
"FKBP11","51303"
"FKBP15","23307"
"FKTN","2218"
"FLCN","201163"
"FLI1","2313"
"FLII","2314"
"FLNB","2317"
"FLNC","2318"
"FLOT2","2319"
"FLRT3","23767"
"FLT3","2322"
"FLT3LG","2323"
"FLT4","2324"
"FLYWCH1","84256"
"FMC1","154791"
"FMN1","342184"
"FMN2","56776"
"FMO3","2328"
"FMO5","2330"
"FMOD","2331"
"FN1","2335"
"FN3KRP","79672"
"FNDC3A","22862"
"FNDC3B","64778"
"FNDC5","252995"
"FNTA","2339"
"FOLH1","2346"
"FOLR1","2348"
"FOLR2","2350"
"FOSL1","8061"
"FOXA1","3169"
"FOXA2","3170"
"FOXB1","27023"
"FOXC1","2296"
"FOXC2","2303"
"FOXD2","2306"
"FOXE1","2304"
"FOXE3","2301"
"FOXF1","2294"
"FOXG1","2290"
"FOXI1","2299"
"FOXJ1","2302"
"FOXJ2","55810"
"FOXL2","668"
"FOXM1","2305"
"FOXN1","8456"
"FOXO1","2308"
"FOXO3","2309"
"FOXO4","4303"
"FOXP1","27086"
"FOXP2","93986"
"FOXP3","50943"
"FOXP4","116113"
"FOXRED1","55572"
"FPR1","2357"
"FPR2","2358"
"FRA10AC1","118924"
"FRAS1","80144"
"FREM1","158326"
"FREM2","341640"
"FRMD6","122786"
"FRMD7","90167"
"FRZB","2487"
"FSCN1","6624"
"FSHR","2492"
"FSIP1","161835"
"FST","10468"
"FSTL1","11167"
"FSTL3","10272"
"FTO","79068"
"FUBP3","8939"
"FUCA1","2517"
"FURIN","5045"
"FUS","2521"
"FUT1","2523"
"FUT2","2524"
"FUT3","2525"
"FUT4","2526"
"FUT6","2528"
"FUT7","2529"
"FUT8","2530"
"FUT9","10690"
"FXR2","9513"
"FXYD7","53822"
"FYN","2534"
"FZD1","8321"
"FZD10","11211"
"FZD3","7976"
"FZD4","8322"
"FZD6","8323"
"FZD9","8326"
"FZR1","51343"
"G6PD","2539"
"GAA","2548"
"GAB1","2549"
"GAB2","9846"
"GABBR1","2550"
"GABBR2","9568"
"GABRA1","2554"
"GABRA2","2555"
"GABRA3","2556"
"GABRA4","2557"
"GABRA5","2558"
"GABRA6","2559"
"GABRB2","2561"
"GABRB3","2562"
"GABRD","2563"
"GABRG1","2565"
"GABRG2","2566"
"GABRG3","2567"
"GABRP","2568"
"GABRQ","55879"
"GABRR3","200959"
"GAD1","2571"
"GAD2","2572"
"GADD45A","1647"
"GADD45G","10912"
"GAGE1","2543"
"GAL","51083"
"GALE","2582"
"GALK1","2584"
"GALNS","2588"
"GALNT3","2591"
"GALP","85569"
"GALR1","2587"
"GANAB","23193"
"GANC","2595"
"GAP43","2596"
"GART","2618"
"GAS2L1","10634"
"GAS6","2621"
"GATA1","2623"
"GATA2","2624"
"GATA3","2625"
"GATA4","2626"
"GATA6","2627"
"GBA","2629"
"GBE1","2632"
"GBF1","8729"
"GBP1","2633"
"GBP5","115362"
"GBX2","2637"
"GCGR","2642"
"GCH1","2643"
"GCKR","2646"
"GCLM","2730"
"GCM1","8521"
"GCN1","10985"
"GCNT2","2651"
"GCNT4","51301"
"GDA","9615"
"GDF11","10220"
"GDF15","9518"
"GDF2","2658"
"GDF3","9573"
"GDF5","8200"
"GDF6","392255"
"GDF7","151449"
"GDF9","2661"
"GDNF","2668"
"GFPT1","2673"
"GGT1","2678"
"GH1","2688"
"GHITM","27069"
"GHR","2690"
"GHSR","2693"
"GIGYF1","64599"
"GIMAP4","55303"
"GIMAP5","55340"
"GIMAP8","155038"
"GIPC1","10755"
"GIPC2","54810"
"GJA1","2697"
"GJA5","2702"
"GJB1","2705"
"GJB6","10804"
"GJC1","10052"
"GKN1","56287"
"GKN2","200504"
"GLA","2717"
"GLB1","2720"
"GLCCI1","113263"
"GLDN","342035"
"GLI1","2735"
"GLI2","2736"
"GLI3","2737"
"GLIPR2","152007"
"GLOD4","51031"
"GLP1R","2740"
"GLRA1","2741"
"GLRA2","2742"
"GLRA3","8001"
"GLRB","2743"
"GLS","2744"
"GLS2","27165"
"GLT8D2","83468"
"GLUD1","2746"
"GLYR1","84656"
"GMDS","2762"
"GMEB1","10691"
"GMEB2","26205"
"GMFB","2764"
"GMPS","8833"
"GNA11","2767"
"GNAI1","2770"
"GNAI2","2771"
"GNAO1","2775"
"GNAQ","2776"
"GNAT3","346562"
"GNB1L","54584"
"GNB3","2784"
"GNL2","29889"
"GNPAT","8443"
"GNRH1","2796"
"GNRHR","2798"
"GNS","2799"
"GOLGA2","2801"
"GOLPH3","64083"
"GORAB","92344"
"GOT1","2805"
"GP1BA","2811"
"GP5","2814"
"GP6","51206"
"GPATCH11","253635"
"GPBP1","65056"
"GPBP1L1","60313"
"GPER1","2852"
"GPHN","10243"
"GPN1","11321"
"GPN2","54707"
"GPR1","2825"
"GPR101","83550"
"GPR12","2835"
"GPR135","64582"
"GPR137","56834"
"GPR139","124274"
"GPR149","344758"
"GPR158","57512"
"GPR162","27239"
"GPR17","2840"
"GPR174","84636"
"GPR22","2845"
"GPR26","2849"
"GPR3","2827"
"GPR34","2857"
"GPR37","2861"
"GPR37L1","9283"
"GPR39","2863"
"GPR4","2828"
"GPR55","9290"
"GPR63","81491"
"GPR83","10888"
"GPR85","54329"
"GPR87","53836"
"GPR88","54112"
"GPRASP1","9737"
"GPRASP2","114928"
"GPRC5B","51704"
"GPRC5C","55890"
"GPRIN2","9721"
"GPT","2875"
"GRAMD1A","57655"
"GRAMD2B","65983"
"GRB2","2885"
"GREB1L","80000"
"GREM1","26585"
"GREM2","64388"
"GRHL2","79977"
"GRIA1","2890"
"GRIA2","2891"
"GRID1","2894"
"GRIK3","2899"
"GRIK4","2900"
"GRIK5","2901"
"GRIN1","2902"
"GRIN2B","2904"
"GRIN2C","2905"
"GRIN2D","2906"
"GRK2","156"
"GRK5","2869"
"GRM1","2911"
"GRM2","2912"
"GRM3","2913"
"GRM4","2914"
"GRM5","2915"
"GRM7","2917"
"GRN","2896"
"GRP","2922"
"GRPR","2925"
"GRWD1","83743"
"GSDMB","55876"
"GSDMC","56169"
"GSE1","23199"
"GSK3A","2931"
"GSK3B","2932"
"GSR","2936"
"GSS","2937"
"GSTM1","2944"
"GSTM3","2947"
"GSTO1","9446"
"GSTZ1","2954"
"GSX2","170825"
"GTF2A1L","11036"
"GTF2I","2969"
"GTF3C1","2975"
"GTPBP1","9567"
"GTPBP10","85865"
"GTPBP4","23560"
"GUCA1A","2978"
"GUCY1A2","2977"
"GUCY2C","2984"
"GUCY2D","3000"
"GUSB","2990"
"GXYLT2","727936"
"GYG2","8908"
"GYPA","2993"
"GYPB","2994"
"GYS1","2997"
"GZMA","3001"
"GZMB","3002"
"GZMH","2999"
"GZMK","3003"
"H19","283120"
"H2AFX","3014"
"H3F3B","3021"
"HABP2","3026"
"HADHA","3030"
"HADHB","3032"
"HAMP","57817"
"HAP1","9001"
"HAS2","3037"
"HAVCR1","26762"
"HAVCR2","84868"
"HAX1","10456"
"HBEGF","1839"
"HBG1","3047"
"HBS1L","10767"
"HBZ","3050"
"HCAR2","338442"
"HCAR3","8843"
"HCFC1","3054"
"HCK","3055"
"HCN2","610"
"HCN3","57657"
"HCN4","10021"
"HCRT","3060"
"HCRTR1","3061"
"HCRTR2","3062"
"HDAC1","3065"
"HDAC10","83933"
"HDAC2","3066"
"HDAC3","8841"
"HDAC4","9759"
"HDAC5","10014"
"HDAC6","10013"
"HDAC8","55869"
"HDAC9","9734"
"HDC","3067"
"HEATR3","55027"
"HEATR5A","25938"
"HEATR5B","54497"
"HEATR6","63897"
"HECA","51696"
"HECTD4","283450"
"HELLS","3070"
"HEPACAM","220296"
"HERC2","8924"
"HERC6","55008"
"HES1","3280"
"HES4","57801"
"HES6","55502"
"HESX1","8820"
"HEXA","3073"
"HEXB","3074"
"HEXIM1","10614"
"HEY1","23462"
"HFE","3077"
"HGF","3082"
"HGH1","51236"
"HGS","9146"
"HHEX","3087"
"HHLA2","11148"
"HIF1A","3091"
"HIPK2","28996"
"HIPK3","10114"
"HIVEP2","3097"
"HK1","3098"
"HK2","3099"
"HLA-DRA","3122"
"HLX","3142"
"HMCN1","83872"
"HMGA1","3159"
"HMGA2","8091"
"HMGB2","3148"
"HMGB3","3149"
"HMGCR","3156"
"HMGN3","9324"
"HMGN5","79366"
"HMMR","3161"
"HMOX1","3162"
"HMX2","3167"
"HNF1A","6927"
"HNF1B","6928"
"HNF4A","3172"
"HNMT","3176"
"HNRNPA1L2","144983"
"HNRNPD","3184"
"HNRNPF","3185"
"HNRNPH1","3187"
"HNRNPLL","92906"
"HNRNPM","4670"
"HNRNPUL1","11100"
"HOOK3","84376"
"HOPX","84525"
"HOTAIR","100124700"
"HOXA10","3206"
"HOXA11","3207"
"HOXA13","3209"
"HOXA5","3202"
"HOXA9","3205"
"HOXB13","10481"
"HOXB4","3214"
"HOXB5","3215"
"HOXB6","3216"
"HOXB7","3217"
"HOXB9","3219"
"HOXC11","3227"
"HOXC13","3229"
"HOXD10","3236"
"HOXD9","3235"
"HPCA","3208"
"HPCAL1","3241"
"HPD","3242"
"HPGD","3248"
"HPGDS","27306"
"HPRT1","3251"
"HPS5","11234"
"HPSE","10855"
"HPSE2","60495"
"HRAS","3265"
"HRH1","3269"
"HRH2","3274"
"HRH3","11255"
"HRH4","59340"
"HS3ST2","9956"
"HS3ST3A1","9955"
"HS3ST5","222537"
"HS6ST2","90161"
"HSD11B1","3290"
"HSD11B2","3291"
"HSD17B1","3292"
"HSD17B10","3028"
"HSD17B2","3294"
"HSD17B6","8630"
"HSD3B1","3283"
"HSDL1","83693"
"HSF1","3297"
"HSF4","3299"
"HSPA1L","3305"
"HSPA2","3306"
"HSPA4","3308"
"HSPA6","3310"
"HSPA8","3312"
"HSPA9","3313"
"HSPB11","51668"
"HSPB3","8988"
"HSPB8","26353"
"HSPBP1","23640"
"HSPD1","3329"
"HSPG2","3339"
"HTATIP2","10553"
"HTR1A","3350"
"HTR1B","3351"
"HTR1D","3352"
"HTR1E","3354"
"HTR2A","3356"
"HTR2B","3357"
"HTR2C","3358"
"HTR3A","3359"
"HTR4","3360"
"HTR5A","3361"
"HTR6","3362"
"HTR7","3363"
"HTRA1","5654"
"HTRA2","27429"
"HTT","3064"
"HUWE1","10075"
"HYOU1","10525"
"IARS2","55699"
"ICA1","3382"
"ICAM1","3383"
"ICAM2","3384"
"ICAM3","3385"
"ICAM4","3386"
"ICAM5","7087"
"ICOS","29851"
"ICOSLG","23308"
"ID4","3400"
"IDE","3416"
"IDH1","3417"
"IDH2","3418"
"IDO1","3620"
"IDUA","3425"
"IFI16","3428"
"IFI35","3430"
"IFI44L","10964"
"IFIH1","64135"
"IFIT1","3434"
"IFIT2","3433"
"IFIT3","3437"
"IFITM1","8519"
"IFNA1","3439"
"IFNA17","3451"
"IFNA2","3440"
"IFNA7","3444"
"IFNA8","3445"
"IFNAR1","3454"
"IFNAR2","3455"
"IFNB1","3456"
"IFNG","3458"
"IFNGR1","3459"
"IFNGR2","3460"
"IFNL1","282618"
"IFNL2","282616"
"IFNL3","282617"
"IFNW1","3467"
"IFRD1","3475"
"IFT57","55081"
"IGBP1","3476"
"IGF1","3479"
"IGF1R","3480"
"IGF2","3481"
"IGF2BP1","10642"
"IGF2BP2","10644"
"IGF2BP3","10643"
"IGF2R","3482"
"IGFBP1","3484"
"IGFBP2","3485"
"IGFN1","91156"
"IGHE","3497"
"IGSF1","3547"
"IGSF3","3321"
"IGSF8","93185"
"IGSF9B","22997"
"IHH","3549"
"IKBKB","3551"
"IKBKE","9641"
"IKBKG","8517"
"IKZF1","10320"
"IKZF2","22807"
"IKZF3","22806"
"IKZF4","64375"
"IL10","3586"
"IL10RA","3587"
"IL10RB","3588"
"IL11","3589"
"IL11RA","3590"
"IL12A","3592"
"IL12B","3593"
"IL12RB1","3594"
"IL12RB2","3595"
"IL13","3596"
"IL13RA1","3597"
"IL13RA2","3598"
"IL15","3600"
"IL15RA","3601"
"IL16","3603"
"IL17A","3605"
"IL17B","27190"
"IL17D","53342"
"IL17F","112744"
"IL17RA","23765"
"IL17RB","55540"
"IL18","3606"
"IL18BP","10068"
"IL18R1","8809"
"IL18RAP","8807"
"IL19","29949"
"IL1A","3552"
"IL1B","3553"
"IL1F10","84639"
"IL1R1","3554"
"IL1RAP","3556"
"IL1RL1","9173"
"IL1RL2","8808"
"IL1RN","3557"
"IL2","3558"
"IL20","50604"
"IL21","59067"
"IL21R","50615"
"IL22","50616"
"IL22RA1","58985"
"IL23A","51561"
"IL23R","149233"
"IL24","11009"
"IL25","64806"
"IL26","55801"
"IL2RA","3559"
"IL2RB","3560"
"IL2RG","3561"
"IL3","3562"
"IL31","386653"
"IL33","90865"
"IL34","146433"
"IL36G","56300"
"IL37","27178"
"IL3RA","3563"
"IL4","3565"
"IL4R","3566"
"IL5","3567"
"IL5RA","3568"
"IL6","3569"
"IL6R","3570"
"IL6ST","3572"
"IL7","3574"
"IL9","3578"
"IL9R","3581"
"ILDR2","387597"
"ILF3","3609"
"ILK","3611"
"IMMT","10989"
"IMPDH1","3614"
"IMPDH2","3615"
"IMPG1","3617"
"INA","9118"
"INCA1","388324"
"ING1","3621"
"INHA","3623"
"INHBA","3624"
"INHBB","3625"
"INKA2","55924"
"INMT","11185"
"INO80D","54891"
"INPP4B","8821"
"INPP5D","3635"
"INPPL1","3636"
"INS","3630"
"INSC","387755"
"INSL3","3640"
"INSL4","3641"
"INSM1","3642"
"INSR","3643"
"INSRR","3645"
"INVS","27130"
"IPO11","51194"
"IPO5","3843"
"IPO7","10527"
"IPO9","55705"
"IPP","3652"
"IQGAP1","8826"
"IQGAP2","10788"
"IQSEC1","9922"
"IRAK1","3654"
"IRAK2","3656"
"IRAK4","51135"
"IRF1","3659"
"IRF2BP1","26145"
"IRF2BPL","64207"
"IRF3","3661"
"IRF4","3662"
"IRF5","3663"
"IRF7","3665"
"IRF8","3394"
"IRGM","345611"
"IRGQ","126298"
"IRS1","3667"
"IRS2","8660"
"IRS4","8471"
"IRX1","79192"
"ISL1","3670"
"ISLR","3671"
"ISOC2","79763"
"ITCH","83737"
"ITGA1","3672"
"ITGA2","3673"
"ITGA2B","3674"
"ITGA3","3675"
"ITGA4","3676"
"ITGA5","3678"
"ITGA6","3655"
"ITGAD","3681"
"ITGAE","3682"
"ITGAL","3683"
"ITGAM","3684"
"ITGAV","3685"
"ITGAX","3687"
"ITGB1BP2","26548"
"ITGB2","3689"
"ITGB3","3690"
"ITGB4","3691"
"ITGB5","3693"
"ITGB6","3694"
"ITGB7","3695"
"ITIH1","3697"
"ITIH5","80760"
"ITK","3702"
"ITM2A","9452"
"ITPKA","3706"
"ITPR1","3708"
"ITPR3","3710"
"ITPRID2","6744"
"IVNS1ABP","10625"
"JAG1","182"
"JAK1","3716"
"JAK2","3717"
"JAK3","3718"
"JAM2","58494"
"JAM3","83700"
"JAZF1","221895"
"JDP2","122953"
"JMJD4","65094"
"JPH1","56704"
"JPH2","57158"
"JPT2","90861"
"JRK","8629"
"JUP","3728"
"KANK2","25959"
"KAT2A","2648"
"KAT2B","8850"
"KAT5","10524"
"KATNA1","11104"
"KCNA3","3738"
"KCNA4","3739"
"KCNA5","3741"
"KCNAB3","9196"
"KCNB1","3745"
"KCNC1","3746"
"KCNC3","3748"
"KCNC4","3749"
"KCNE1","3753"
"KCNF1","3754"
"KCNH1","3756"
"KCNH2","3757"
"KCNH3","23416"
"KCNH4","23415"
"KCNH5","27133"
"KCNH6","81033"
"KCNIP2","30819"
"KCNJ1","3758"
"KCNJ10","3766"
"KCNJ11","3767"
"KCNJ12","3768"
"KCNJ13","3769"
"KCNJ15","3772"
"KCNJ16","3773"
"KCNJ2","3759"
"KCNJ6","3763"
"KCNJ8","3764"
"KCNJ9","3765"
"KCNK1","3775"
"KCNK10","54207"
"KCNK12","56660"
"KCNK13","56659"
"KCNK15","60598"
"KCNK16","83795"
"KCNK17","89822"
"KCNK18","338567"
"KCNK2","3776"
"KCNK3","3777"
"KCNK4","50801"
"KCNK6","9424"
"KCNK9","51305"
"KCNMA1","3778"
"KCNMB1","3779"
"KCNN3","3782"
"KCNN4","3783"
"KCNQ1","3784"
"KCNQ2","3785"
"KCNQ4","9132"
"KCNRG","283518"
"KCNS1","3787"
"KCNT1","57582"
"KCNT2","343450"
"KCNU1","157855"
"KCNV1","27012"
"KCTD10","83892"
"KCTD11","147040"
"KCTD20","222658"
"KCTD5","54442"
"KCTD9","54793"
"KDM1A","23028"
"KDM3A","55818"
"KDM4A","9682"
"KDM5B","10765"
"KDM5D","8284"
"KDM6A","7403"
"KDM6B","23135"
"KDM8","79831"
"KDR","3791"
"KEAP1","9817"
"KEL","3792"
"KHDC3L","154288"
"KHDRBS1","10657"
"KHK","3795"
"KHSRP","8570"
"KIAA0408","9729"
"KIAA1191","57179"
"KIAA2013","90231"
"KIF11","3832"
"KIF1A","547"
"KIF20A","10112"
"KIF2A","3796"
"KIF2C","11004"
"KIF5B","3799"
"KIR2DL1","3802"
"KIR2DL4","3805"
"KIR3DL1","3811"
"KISS1R","84634"
"KIT","3815"
"KITLG","4254"
"KL","9365"
"KLF12","11278"
"KLF14","136259"
"KLF16","83855"
"KLF17","128209"
"KLF4","9314"
"KLF5","688"
"KLHDC2","23588"
"KLHL1","57626"
"KLHL13","90293"
"KLHL14","57565"
"KLHL24","54800"
"KLHL26","55295"
"KLHL4","56062"
"KLHL8","57563"
"KLK10","5655"
"KLK15","55554"
"KLK4","9622"
"KLK6","5653"
"KLRB1","3820"
"KLRC1","3821"
"KLRC2","3822"
"KLRD1","3824"
"KLRF1","51348"
"KLRG1","10219"
"KLRK1","22914"
"KMO","8564"
"KMT2A","4297"
"KMT2D","8085"
"KNDC1","85442"
"KNSTRN","90417"
"KPNA1","3836"
"KPNA2","3838"
"KPNA3","3839"
"KPNA6","23633"
"KPNB1","3837"
"KPRP","448834"
"KRAS","3845"
"KRT15","3866"
"KRT17","3872"
"KRT19","3880"
"KRT20","54474"
"KRT6A","3853"
"KRT6C","286887"
"KRTCAP2","200185"
"KXD1","79036"
"L1CAM","3897"
"LACC1","144811"
"LACRT","90070"
"LAD1","3898"
"LAG3","3902"
"LAIR1","3903"
"LAIR2","3904"
"LAMA3","3909"
"LAMB3","3914"
"LAMC1","3915"
"LAMC2","3918"
"LAMP1","3916"
"LAMP2","3920"
"LAMP3","27074"
"LANCL1","10314"
"LANCL2","55915"
"LAPTM4B","55353"
"LARP4","113251"
"LARP4B","23185"
"LASP1","3927"
"LAT","27040"
"LATS1","9113"
"LATS2","26524"
"LBH","81606"
"LBP","3929"
"LBX1","10660"
"LCAT","3931"
"LCK","3932"
"LDB3","11155"
"LDHA","3939"
"LDLR","3949"
"LDLRAD4","753"
"LEF1","51176"
"LEMD1","93273"
"LENG8","114823"
"LEP","3952"
"LEPR","3953"
"LEPROTL1","23484"
"LGALS13","29124"
"LGALS14","56891"
"LGALS4","3960"
"LGALS8","3964"
"LGALS9","3965"
"LGALSL","29094"
"LGMN","5641"
"LGR4","55366"
"LGR5","8549"
"LGR6","59352"
"LHCGR","3973"
"LIF","3976"
"LIFR","3977"
"LIG3","3980"
"LIG4","3981"
"LILRA1","11024"
"LILRA2","11027"
"LILRA4","23547"
"LILRA5","353514"
"LILRA6","79168"
"LILRB1","10859"
"LILRB2","10288"
"LILRB3","11025"
"LILRB4","11006"
"LILRB5","10990"
"LIM2","3982"
"LIMK1","3984"
"LIN28A","79727"
"LIN28B","389421"
"LINGO2","158038"
"LINS1","55180"
"LIPA","3988"
"LIPC","3990"
"LIPE","3991"
"LIPF","8513"
"LIPG","9388"
"LMBR1L","55716"
"LMNB1","4001"
"LMO1","4004"
"LMO2","4005"
"LMX1B","4010"
"LONP1","9361"
"LONRF3","79836"
"LOX","4015"
"LOXL1","4016"
"LOXL2","4017"
"LPA","4018"
"LPAR1","1902"
"LPAR3","23566"
"LPAR5","57121"
"LPAR6","10161"
"LPCAT1","79888"
"LPIN1","23175"
"LPL","4023"
"LPXN","9404"
"LRATD2","157638"
"LRBA","987"
"LRCH1","23143"
"LRG1","116844"
"LRIF1","55791"
"LRP1","4035"
"LRP2","4036"
"LRP5","4041"
"LRP6","4040"
"LRPPRC","10128"
"LRRC15","131578"
"LRRC20","55222"
"LRRC3","81543"
"LRRC32","2615"
"LRRC38","126755"
"LRRC3B","116135"
"LRRC45","201255"
"LRRC47","57470"
"LRRC59","55379"
"LRRK2","120892"
"LRRTM1","347730"
"LRTM1","57408"
"LSG1","55341"
"LSM12","124801"
"LTA","4049"
"LTA4H","4048"
"LTB4R","1241"
"LTB4R2","56413"
"LTBP1","4052"
"LTBP2","4053"
"LTBR","4055"
"LTK","4058"
"LUC7L","55692"
"LURAP1","541468"
"LY6D","8581"
"LY75","4065"
"LY9","4063"
"LY96","23643"
"LYAR","55646"
"LYN","4067"
"LYVE1","10894"
"LZIC","84328"
"LZTS1","11178"
"MAB21L1","4081"
"MAB21L2","10586"
"MACC1","346389"
"MAD1L1","8379"
"MAD2L1","4085"
"MAEA","10296"
"MAF","4094"
"MAFB","9935"
"MAFF","23764"
"MAGEA1","4100"
"MAGEA10","4109"
"MAGEA11","4110"
"MAGEA12","4111"
"MAGEA3","4102"
"MAGEA4","4103"
"MAGEB2","4113"
"MAGEC1","9947"
"MAGEC2","51438"
"MAGI1","9223"
"MAGI3","260425"
"MAK","4117"
"MAL","4118"
"MAL2","114569"
"MALL","7851"
"MALT1","10892"
"MAML2","84441"
"MAN1A1","4121"
"MAN1B1","11253"
"MAN2B1","4125"
"MANEA","79694"
"MAOA","4128"
"MAOB","4129"
"MAP1A","4130"
"MAP1B","4131"
"MAP1LC3A","84557"
"MAP1LC3B","81631"
"MAP1S","55201"
"MAP2","4133"
"MAP2K1","5604"
"MAP2K4","6416"
"MAP2K5","5607"
"MAP3K1","4214"
"MAP3K14","9020"
"MAP3K15","389840"
